timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678801544987,3169,Yame-/shop/ao-thun-don-gian?s=2,200,OK,Thread Group-Yame 1-74,text,true,,95161,134,60,60,https://yame.vn/shop/ao-thun-don-gian?s=2,991,0,0
1678801547485,672,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-72,text,true,,91412,125,60,60,https://yame.vn/bo-suu-tap/bbuff,533,0,0
1678801546922,1299,Yame,200,OK,Thread Group-Yame 1-78,text,true,,102987,228,59,59,https://yame.vn/home/v2022,519,0,0
1678801546922,520,Yame-0,302,Found,Thread Group-Yame 1-78,text,true,,1388,109,59,59,https://yame.vn/,519,0,0
1678801547442,779,Yame-1,200,OK,Thread Group-Yame 1-78,text,true,,101599,119,59,59,https://yame.vn/home/v2022,613,0,0
1678801547581,647,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-92,text,true,,88405,122,59,59,https://yame.vn/shop/bltx?s=2,502,0,0
1678801547570,659,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-58,text,true,,92878,138,59,59,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,504,0,0
1678801546333,1906,Yame,200,OK,Thread Group-Yame 1-23,text,true,,103215,228,59,59,https://yame.vn/home/v2022,432,0,0
1678801546333,438,Yame-0,302,Found,Thread Group-Yame 1-23,text,true,,1384,109,59,59,https://yame.vn/,432,0,0
1678801546771,1468,Yame-1,200,OK,Thread Group-Yame 1-23,text,true,,101831,119,59,59,https://yame.vn/home/v2022,878,0,0
1678801547251,990,Yame-/bo-suu-tap/van-xuan-kien-quoc,200,OK,Thread Group-Yame 1-42,text,true,,65390,138,59,59,https://yame.vn/bo-suu-tap/van-xuan-kien-quoc,690,0,0
1678801547606,641,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-53,text,true,,89949,134,59,59,https://yame.vn/shop/ao-thun-toi-gian?s=2,511,0,0
1678801547599,658,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-61,text,true,,92880,138,59,59,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,502,0,0
1678801547335,922,Yame-/shop/quan-short?s=2,200,OK,Thread Group-Yame 1-41,text,true,,91056,128,59,59,https://yame.vn/shop/quan-short?s=2,625,0,0
1678801538311,9953,Yame-/shop/ao-so-mi-don-gian?s=2,200,OK,Thread Group-Yame 1-3,text,true,,93324,135,59,59,https://yame.vn/shop/ao-so-mi-don-gian?s=2,2878,0,0
1678801547687,618,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-75,text,true,,91344,125,59,59,https://yame.vn/bo-suu-tap/bbuff,490,0,0
1678801547725,618,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-65,text,true,,91413,125,58,58,https://yame.vn/bo-suu-tap/bbuff,491,0,0
1678801547838,553,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-56,text,true,,87679,133,57,57,https://yame.vn/shop/giay-dep-sandal?s=2,440,0,0
1678801547822,569,Yame-/shop/ao-so-mi-co-danton?s=2,200,OK,Thread Group-Yame 1-69,text,true,,76937,136,57,57,https://yame.vn/shop/ao-so-mi-co-danton?s=2,451,0,0
1678801547838,597,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-88,text,true,,87675,133,57,57,https://yame.vn/shop/giay-dep-sandal?s=2,442,0,0
1678801547875,589,Yame-/shop/phu-kien-nam?s=2,200,OK,Thread Group-Yame 1-46,text,true,,89621,130,57,57,https://yame.vn/shop/phu-kien-nam?s=2,429,0,0
1678801547246,1227,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-30,text,true,,92876,138,57,57,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,695,0,0
