Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,N5-53,10526,IT - L 10 Login - Passwords do not Match,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Highest,To Do,,06/Feb/23 10:48 AM,06/Feb/23 10:48 AM,
Story,N5-54,10527,SY-L 8 Login - Choose a difficult Password,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 10:50 AM,06/Feb/23 10:50 AM,
Story,N5-55,10528,U-ATC 19-Add to cart- Add price not less than 100,,,Phuc Mai,629810e7cd636500697caeb0,Highest,To Do,,06/Feb/23 10:51 AM,06/Feb/23 11:06 AM,
Story,N5-56,10529,SY-L 9 Login - Confirm Password must not be blank,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 10:52 AM,06/Feb/23 10:52 AM,
Story,N5-57,10530,SY-L 10 Login - Passwords do not Match,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 10:53 AM,06/Feb/23 10:53 AM,
Story,N5-58,10531,IT - ATC 15 - Add to cart - Add product to cart,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 10:54 AM,06/Feb/23 10:54 AM,
Story,N5-59,10532,U-SP 20 -Search products-Imported but the product is not available,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 10:57 AM,06/Feb/23 11:02 AM,
Story,N5-60,10533,IT - ATC 16 - Add to cart - Add product no product info,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Highest,To Do,,06/Feb/23 10:57 AM,06/Feb/23 11:01 AM,
Story,N5-61,10534,SY-ATC 16-Add to cart-Add product no product info,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 10:58 AM,06/Feb/23 10:58 AM,
Story,N5-62,10535,IT - ATC 17 - Add to cart - Add product No product image,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Highest,To Do,,06/Feb/23 11:00 AM,06/Feb/23 11:00 AM,
Story,N5-63,10536,U-SP 21 -Search products-Leave the search box blank,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 11:01 AM,06/Feb/23 11:16 AM,
Story,N5-64,10537,SY-ATC 17-Add to cart-Add product No product image,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 11:02 AM,06/Feb/23 11:02 AM,
Story,N5-65,10538,IT - ATC 18 - Add to cart - Add products only admins have permission,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Highest,To Do,,06/Feb/23 11:03 AM,06/Feb/23 11:03 AM,
Story,N5-66,10539,SY-ATC 18-Add to cart- Add products only admins have permission,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 11:04 AM,06/Feb/23 11:04 AM,
