Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Step),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
U-E 23-Edit- Edit product size,N5-71,10544,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:10 AM,06/Feb/23 11:19 AM,06/Feb/23 11:23 AM,,,0,sửa,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,N5-77,,,,,,,,,,,,,,,,,,,,,,N5-4,,,Show on interface,,,,,,,,,N5-4,Sửa,,,Show on interface,,,,,0|i0038f:,,,,,,,,,,Unit,,Skip,,,To Do
SY-SP 20 -Search products-Imported but the product is not available,N5-70,10543,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:08 AM,06/Feb/23 11:08 AM,06/Feb/23 11:23 AM,,,0,CustomizedStatement,,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-6,,,"
There are no products to search for",,,,,,,,,N5-6,Tìm kiếm sản phẩm,,,"
There are no products to search for",,,,,0|i00387:,,BN Sprint 2,,,,,,,,System,"B1 Enter khoa,B2 click button search",Pass,,,To Do
U-E 22-Edit- Edit product quantity,N5-69,10542,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:07 AM,06/Feb/23 11:16 AM,06/Feb/23 11:23 AM,,,0,sửa,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-4,06/Feb/23 11:05 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087552364579_23fdc1bac639afcdb78ec3cbfa2a24c9.jpg;https://lequangthuan.atlassian.net/secure/attachment/10196/z4087552364579_23fdc1bac639afcdb78ec3cbfa2a24c9.jpg,,Interface appears,,,,,,,,,N5-4,Sửa,,,Interface appears,,,,,0|i0037z:,,BN Sprint 1,,,,,,,,Unit,"B1 Enter number,B2 check ",Pass,,,To Do
IT - ATC 19 - Add to cart - Add price not less than 100,N5-68,10541,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:06 AM,06/Feb/23 11:06 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add to cart - Add price not less than 100,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,Does not exist on the system,,,,,,,,,N5-3,Thêm sản phẩm,,,Add to cart - Add price not less than 100,,,,,0|i0037r:,,BN Sprint 3,,,,,,,,Integration,,Skip,,,To Do
SY-ATC 19-Add to cart- Add price not less than 100,N5-67,10540,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,High,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:05 AM,06/Feb/23 11:05 AM,06/Feb/23 11:23 AM,,,0,addtocart,,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,No actual result,,,,,,,,,N5-3,Thêm sản phẩm,,,Unreasonable price re-enter,,,,,0|i0037j:,,BN Sprint 2,,,,,,,,,,Skip,,,To Do
SY-ATC 18-Add to cart- Add products only admins have permission,N5-66,10539,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:04 AM,06/Feb/23 11:04 AM,06/Feb/23 11:23 AM,,,0,addtocart,,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,No actual result,,,,,,,,,N5-3,Thêm sản phẩm,,,You do not have the right to edit the product,,,,,0|i0037b:,,BN Sprint 2,,,,,,,,,,Skip,,,To Do
IT - ATC 18 - Add to cart - Add products only admins have permission,N5-65,10538,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:03 AM,06/Feb/23 11:03 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add to cart - Add products only admins have permission,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,Does not exist on the system,,,,,,,,,N5-3,Thêm sản phẩm,,,Add to cart - Add products only admins have permission,,,,,0|i00373:,,BN Sprint 3,,,,,,,,Integration,,Skip,,,To Do
SY-ATC 17-Add to cart-Add product No product image,N5-64,10537,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:02 AM,06/Feb/23 11:02 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add product No product image,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-30,,,No actual result,,,,,,,,,N5-3,Thêm sản phẩm,,,No photos to add products,,,,,0|i0036v:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
U-SP 21 -Search products-Leave the search box blank,N5-63,10536,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:01 AM,06/Feb/23 11:16 AM,06/Feb/23 11:23 AM,,,0,searchproduct,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-6,06/Feb/23 11:01 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087520467418_b53668533fc0999523acd05ebbc4dc23.jpg;https://lequangthuan.atlassian.net/secure/attachment/10195/z4087520467418_b53668533fc0999523acd05ebbc4dc23.jpg,,Please enter keywords to search,,,,,,,,,N5-6,Tìm kiếm sản phẩm,,,Please enter keywords to search,,,,,0|i0036n:,,BN Sprint 1,,,,,,,,Unit,"B1 blank product, B2 enter",Pass,,,To Do
IT - ATC 17 - Add to cart - Add product No product image,N5-62,10535,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:00 AM,06/Feb/23 11:00 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add to cart - Add product No product image,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,Does not exist on the system,,,,,,,,,N5-3,Thêm sản phẩm,,,Add to cart - Add product No product image,,,,,0|i0036f:,,BN Sprint 3,,,,,,,,Integration,,Skip,,,To Do
